epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6863.5,0.98349,0.45391,1.03221,0.97947,0.98811,0.99198,0.77205,0.87526,0.34808,1.06068,0.005842,0.005842,0.005842
44,7021.94,0.9842,0.45612,1.03453,0.98185,0.98738,0.99228,0.77146,0.87278,0.34721,1.05869,0.005743,0.005743,0.005743
45,7180.62,0.97744,0.45326,1.03174,0.98463,0.98681,0.99224,0.77451,0.871,0.3429,1.05668,0.005644,0.005644,0.005644
46,7339.85,0.97017,0.44729,1.02561,0.98444,0.9876,0.99232,0.77509,0.86494,0.34108,1.05583,0.005545,0.005545,0.005545
47,7499.77,0.96886,0.44659,1.02827,0.98314,0.98759,0.99214,0.77561,0.86231,0.33922,1.05203,0.005446,0.005446,0.005446
48,7659.28,0.97036,0.44441,1.02489,0.98355,0.98851,0.99233,0.77885,0.85818,0.33526,1.04923,0.005347,0.005347,0.005347
49,7818.54,0.9621,0.4399,1.02642,0.98505,0.98825,0.99246,0.778,0.85712,0.33567,1.04873,0.005248,0.005248,0.005248
50,7976.86,0.96489,0.44286,1.02335,0.98402,0.99045,0.99273,0.78164,0.85253,0.33393,1.04787,0.005149,0.005149,0.005149
51,8136.18,0.96294,0.43792,1.0197,0.98444,0.98927,0.9924,0.78044,0.849,0.33102,1.04624,0.00505,0.00505,0.00505
52,8295.73,0.95564,0.43328,1.02112,0.98503,0.99102,0.99271,0.78449,0.84749,0.32796,1.04438,0.004951,0.004951,0.004951
53,8454.95,0.94852,0.42824,1.01807,0.98503,0.99037,0.99281,0.78373,0.84498,0.32664,1.0432,0.004852,0.004852,0.004852
54,8613.1,0.94768,0.4296,1.01676,0.98575,0.99134,0.99263,0.78751,0.83779,0.32523,1.03993,0.004753,0.004753,0.004753
55,8772.51,0.94747,0.42948,1.01521,0.9853,0.99177,0.99282,0.78665,0.83822,0.32488,1.04072,0.004654,0.004654,0.004654
56,8931.28,0.94341,0.42282,1.01401,0.9865,0.99011,0.99288,0.78484,0.84138,0.32386,1.04178,0.004555,0.004555,0.004555
57,9089.68,0.93766,0.42382,1.01162,0.98634,0.99157,0.99283,0.78676,0.83871,0.32359,1.04065,0.004456,0.004456,0.004456
58,9247.94,0.9407,0.42197,1.01882,0.9869,0.99073,0.99284,0.78812,0.83488,0.32116,1.03827,0.004357,0.004357,0.004357
59,9407.36,0.93616,0.42036,1.00856,0.98681,0.99175,0.99293,0.78819,0.83039,0.31961,1.03439,0.004258,0.004258,0.004258
60,9566.77,0.93681,0.41792,1.00953,0.98629,0.99183,0.99284,0.79053,0.82722,0.31806,1.03376,0.004159,0.004159,0.004159
61,9726.08,0.92797,0.41716,1.00916,0.98687,0.99179,0.993,0.79132,0.82344,0.31597,1.03158,0.00406,0.00406,0.00406
62,9886.33,0.92662,0.41177,1.01053,0.98775,0.9918,0.99293,0.78937,0.82595,0.31718,1.03368,0.003961,0.003961,0.003961
63,10045.2,0.92519,0.413,1.0092,0.98757,0.99178,0.99295,0.78901,0.82525,0.31665,1.03285,0.003862,0.003862,0.003862
64,10203.6,0.92126,0.40991,1.00663,0.98715,0.99174,0.99296,0.78953,0.82338,0.31574,1.0315,0.003763,0.003763,0.003763
65,10362.1,0.92073,0.40757,1.00604,0.98744,0.99244,0.99296,0.79084,0.82086,0.3128,1.03003,0.003664,0.003664,0.003664
